img,ism,fdr,brisque
beyonce_metacloak,0.6459,0.6875,37.2293
beyonce_metacloak_adavoc,0.5001,0.75,36.0747
beyonce_metacloak_ape,0.5619,0.9375,32.223
beyonce_metacloak_bf,0.2818,0.125,44.1238
beyonce_metacloak_diffpure,0.3016,0.9375,62.557
beyonce_metacloak_gn,0.6651,1,21.7099
beyonce_metacloak_pdmpure,0.5097,1,28.8388
beyonce_mist,0.2702,0.6875,13.3299
beyonce_mist_adavoc,0.607,0.875,27.1922
beyonce_mist_ape,0.6028,1,32.1522
beyonce_mist_bf,0.5598,0.9375,36.1673
beyonce_mist_diffpure,0.2653,1,56.8014
beyonce_mist_gn,0.5976,0.9375,19.5896
beyonce_mist_pdmpure,0.515,1,33.1128
bruce,0.5693,0.875,15.6434
bruce,0.6568,0.9375,18.5233
bruce_aspl,0.5169,0.75,43.4609
bruce_aspl,0.5141,0.75,43.4609
bruce_aspl_adavoc,0.3183,0.9375,24.2352
bruce_aspl_ape,0.4361,0.875,33.3475
bruce_aspl_bf,0.4913,0.75,37.0043
bruce_aspl_diffpure,0.1938,0.8125,49.3589
bruce_aspl_gn,0.6347,1,9.7023
bruce_aspl_pdmpure,0.5845,0.875,45.0804
bruce_glaze,0.6716,0.8125,23.3875
bruce_glaze_adavoc,0.4814,0.75,23.3301
bruce_glaze_ape,0.52,1,28.4522
bruce_glaze_bf,0.6177,0.8125,30.5306
bruce_glaze_diffpure,0.1972,1,49.108
bruce_glaze_gn,0.6642,1,0.3293
bruce_glaze_pdmpure,0.5896,0.875,31.2049
bruce_metacloak,0.6085,0.8125,42.2833
bruce_metacloak_adavoc,0.3587,0.625,34.6716
bruce_metacloak_ape,0.4741,0.625,33.9825
bruce_metacloak_bf,0.6175,0.875,41.3919
bruce_metacloak_diffpure,0.2653,1,59.5661
bruce_metacloak_gn,0.6087,1,16.7565
bruce_metacloak_pdmpure,0.6141,1,39.0066
bruce_mist,0,0,15.7246
bruce_mist_adavoc,0.336,0.375,21.5004
bruce_mist_ape,0.415,0.875,31.4458
bruce_mist_bf,0.4855,0.875,41.9796
bruce_mist_diffpure,0.2101,0.5625,54.5797
bruce_mist_gn,0.5637,0.8125,9.7316
bruce_mist_pdmpure,0.6322,0.9375,58.0516
chengyu,0.7442,0.9375,23.675
chengyu_aspl,0.5788,1,39.4337
chengyu_aspl_ada,0.099,1,26.5571
chengyu_aspl_ape,0.4611,0.9375,40.4533
chengyu_aspl_bf,0.5914,1,43.2894
chengyu_aspl_diffpure,0.0796,1,58.7753
chengyu_aspl_gn,0.7618,1,14.6753
chengyu_glaze,0.6449,1,19.9429
chengyu_glaze_ada,0.1181,1,12.4643
chengyu_glaze_ape,0.6232,1,28.9983
chengyu_glaze_bf,0.798,1,43.053
chengyu_glaze_diffpure,-0.0394,0.9375,50.7079
chengyu_glaze_gn,0.7593,1,7.1909
chengyu_metacloak,0.5641,1,35.1324
chengyu_metacloak_ada,0.1268,1,36.2603
chengyu_metacloak_ape,0.3071,0.5625,36.9997
chengyu_metacloak_bf,0.6108,1,43.8728
chengyu_metacloak_diffpure,-0.0494,1,55.1904
chengyu_metacloak_gn,0.5998,1,6.3386
chengyu_mist,0.2674,0.875,21.6403
chengyu_mist_ada,0.0961,0.875,31.5514
chengyu_mist_ape,0.4485,0.4375,34.8095
chengyu_mist_bf,0.5409,1,46.769
chengyu_mist_diffpure,-0.031,1,54.2633
chengyu_mist_gn,0.2911,1,23.3479
cristiano,0.6204,0.75,7.2261
cristiano_aspl,0.5743,0.5,40.4082
cristiano_aspl,0.5746,0.5,40.4082
cristiano_aspl_adavoc,0.4536,0.6875,36.138
cristiano_aspl_ape,0.5798,0.875,41.3064
cristiano_aspl_bf,0.6133,0.6875,36.8092
cristiano_aspl_diffpure,0.1844,1,45.5704
cristiano_aspl_gn,0.7179,0.9375,25.8906
cristiano_aspl_pdmpure,0.5586,0.875,37.8696
cristiano_glaze,0.603,1,11.8341
cristiano_glaze_adavoc,0.5456,0.75,39.2224
cristiano_glaze_ape,0.5672,0.9375,31.9332
cristiano_glaze_bf,0.6629,0.9375,37.7074
cristiano_glaze_diffpure,0.177,0.75,46.7997
cristiano_glaze_gn,0.655,0.9375,7.5282
cristiano_glaze_pdmpure,0.5196,0.9375,42.2838
cristiano_metacloak,0.5547,0.6875,24.9602
cristiano_metacloak_adavoc,0.4531,0.8125,29.1681
cristiano_metacloak_ape,0.4413,0.9375,38.4346
cristiano_metacloak_bf,0.5749,0.625,36.2703
cristiano_metacloak_diffpure,0.2424,0.8125,43.248
cristiano_metacloak_gn,0.6708,0.75,14.7653
cristiano_metacloak_pdmpure,0.5743,0.8125,19.6908
cristiano_mist,0.3281,0.9375,19.1082
cristiano_mist_adavoc,0.3877,0.875,25.2584
cristiano_mist_ape,0.5813,0.5625,33.9091
cristiano_mist_bf,0.4806,0.875,48.889
cristiano_mist_diffpure,0.1305,0.4375,43.6812
cristiano_mist_gn,0.5334,0.9375,10.7348
cristiano_mist_pdmpure,0.5926,0.875,39.563
ellen,0.5851,1,31.2153
ellen,0.6971,1,25.9796
ellen_aspl,0.438,0.9375,38.1418
ellen_aspl,0.4371,0.9375,38.1418
ellen_aspl_adavoc,0.4855,0.9375,39.2606
ellen_aspl_ape,0.484,0.875,36.4788
ellen_aspl_bf,0.4338,0.6875,35.7785
ellen_aspl_diffpure,0.0732,0.875,46.7153
ellen_aspl_gn,0.6846,1,22.8146
ellen_aspl_pdmpure,0.6359,1,47.4414
ellen_glaze,0.6429,1,31.3211
ellen_glaze_adavoc,0.518,0.9375,37.1661
ellen_glaze_ape,0.5861,1,30.7733
ellen_glaze_bf,0.6452,1,44.5215
ellen_glaze_diffpure,0.0811,1,46.6185
ellen_glaze_gn,0.7285,1,11.3716
ellen_glaze_pdmpure,0.596,1,48.9293
ellen_metacloak,0.4467,0.625,39.6189
ellen_metacloak_adavoc,0.3836,0.5,36.9982
ellen_metacloak_ape,0.5305,0.875,35.0779
ellen_metacloak_bf,0.5314,0.9375,43.6944
ellen_metacloak_diffpure,0.0959,1,52.2008
ellen_metacloak_gn,0.5459,1,20.1683
ellen_metacloak_pdmpure,0.6538,1,46.3018
ellen_mist,0.2857,0.9375,25.1655
ellen_mist_adavoc,0.4416,1,32.1356
ellen_mist_ape,0.4897,1,30.4415
ellen_mist_bf,0.5451,1,42.5213
ellen_mist_diffpure,0.0941,0.875,48.7921
ellen_mist_gn,0.5072,1,24.7924
ellen_mist_pdmpure,0.6242,1,49.6478
emma,0.6363,1,40.1309
emma_aspl,0.2931,0.5625,49.3269
emma_aspl,0.3417,0.5625,48.4864
emma_aspl_adavoc,0.3951,0.9375,30.5188
emma_aspl_ape,0.4329,1,36.6274
emma_aspl_bf,0.4168,0.75,46.6166
emma_aspl_diffpure,0.2517,0.875,55.8436
emma_aspl_gn,0.557,1,6.0956
emma_aspl_pdmpure,0.559,0.875,59.0771
emma_glaze,0.6169,0.9375,34.4424
emma_glaze_adavoc,0.361,0.875,34.5462
emma_glaze_ape,0.5474,0.9375,39.0174
emma_glaze_bf,0.585,0.9375,39.9188
emma_glaze_diffpure,0.28,0.8125,60.101
emma_glaze_gn,0.632,1,6.5113
emma_glaze_pdmpure,0.6465,1,50.3168
emma_metacloak,0.538,0.4375,45.1854
emma_metacloak_adavoc,0.1443,0.5,27.8059
emma_metacloak_ape,0.4814,1,28.6762
emma_metacloak_bf,0.3794,0.5,46.2181
emma_metacloak_diffpure,0.3252,0.9375,58.6799
emma_metacloak_gn,0.5608,1,19.6693
emma_metacloak_pdmpure,0.497,0.75,35.6795
emma_mist,0.1801,0.625,12.836
emma_mist_adavoc,0.2318,0.9375,41.8785
emma_mist_ape,0.3611,0.625,33.631
emma_mist_bf,0.5187,1,43.9993
emma_mist_diffpure,0.2901,0.9375,54.0531
emma_mist_gn,0.5362,1,20.2216
emma_mist_pdmpure,0.5916,1,47.184
george,0.6085,0.6875,-1.6803
george_aspl,0.3849,0.0625,38.6968
george_aspl,0.3925,0.125,41.0847
george_aspl_adavoc,0.2353,0.5625,27.4006
george_aspl_ape,0.4347,0.625,33.9418
george_aspl_bf,0.4403,0.0625,44.3758
george_aspl_diffpure,0.0999,0.9375,46.5056
george_aspl_gn,0.6372,0.8125,16.5555
george_aspl_pdmpure,0.5389,0.4375,25.5426
george_glaze,0.5656,0.75,11.5132
george_glaze_adavoc,0.3272,0.5,17.2196
george_glaze_ape,0.5367,0.375,33.6731
george_glaze_bf,0.5919,0.625,32.7341
george_glaze_diffpure,0.154,0.75,45.316
george_glaze_gn,0.6088,0.875,-0.3818
george_glaze_pdmpure,0.5008,0.375,31.7195
george_metacloak,0.2932,0.125,44.8118
george_metacloak_adavoc,0.2033,0.3125,30.6795
george_metacloak_ape,0.4131,0.1875,24.6557
george_metacloak_bf,0.5908,0.25,40.68
george_metacloak_diffpure,0.1597,0.625,45.2513
george_metacloak_gn,0.5804,0.6875,15.0751
george_metacloak_pdmpure,0.5207,0.3125,37.0678
george_mist,0,0,19.3765
george_mist_adavoc,0.3341,0.625,32.9378
george_mist_ape,0.5132,0.6875,25.6629
george_mist_bf,0.4996,0.875,51.0912
george_mist_diffpure,0.1604,0.75,41.8847
george_mist_gn,0.4672,0.3125,26.8454
george_mist_pdmpure,0.5793,0.5,30.7943
jackie,0.6547,0.25,23.3658
jackie_aspl,0.6671,0.625,31.9689
jackie_aspl,0.6572,0.75,37.4566
jackie_aspl_adavoc,0.3259,0.1875,56.3157
jackie_aspl_ape,0.4934,0.5,41.3834
jackie_aspl_bf,0.6704,0.375,38.8195
jackie_aspl_diffpure,0.2804,0.875,51.5781
jackie_aspl_gn,0.7089,0.8125,19.6039
jackie_aspl_pdmpure,0.5406,0.8125,41.6056
jackie_glaze,0.713,0.875,39.5787
jackie_glaze_adavoc,0.5756,0.5625,55.228
jackie_glaze_ape,0.6065,0.75,39.2241
jackie_glaze_bf,0.7508,0.5,54.854
jackie_glaze_diffpure,0.1102,0.9375,42.3128
jackie_glaze_gn,0.7287,0.9375,10.222
jackie_glaze_pdmpure,0.4911,0.625,45.553
jackie_metacloak,0.6207,0.375,39.0362
jackie_metacloak_adavoc,0.4563,0.3125,54.7442
jackie_metacloak_ape,0.6485,0.75,30.4042
jackie_metacloak_bf,0.6854,0.375,41.5321
jackie_metacloak_diffpure,0.2003,0.9375,52.8264
jackie_metacloak_gn,0.6128,0.875,25.0199
jackie_metacloak_pdmpure,0.5448,0.8125,38.6514
jackie_mist,0.3813,1,29.2073
jackie_mist_adavoc,0.5166,0.5625,43.7156
jackie_mist_ape,0.6175,0.875,36.9687
jackie_mist_bf,0.6347,0.875,40.137
jackie_mist_diffpure,0.1435,0.9375,55.5367
jackie_mist_gn,0.601,0.875,15.2282
jackie_mist_pdmpure,0.4822,0.625,44.5569
james,0.7141,0.9375,14.8711
james_aspl,0.4753,0.875,43.6921
james_aspl,0.5352,0.9375,42.4833
james_aspl_adavoc,0.4498,1,35.3433
james_aspl_ape,0.6159,1,34.4836
james_aspl_bf,0.6455,0.9375,43.4522
james_aspl_diffpure,0.1505,1,45.0302
james_aspl_gn,0.717,0.9375,24.2714
james_aspl_pdmpure,0.5666,1,30.419
james_glaze,0.7501,1,18.5356
james_glaze_adavoc,0.4833,1,39.5453
james_glaze_ape,0.6625,1,14.909
james_glaze_bf,0.7212,1,31.0803
james_glaze_diffpure,0.1322,1,44.7859
james_glaze_gn,0.6775,1,13.8086
james_glaze_pdmpure,0.6424,1,37.9763
james_metacloak,0.6571,1,36.4292
james_metacloak_adavoc,0.4843,0.8125,31.0108
james_metacloak_ape,0.5968,1,31.4682
james_metacloak_bf,0.6563,1,37.503
james_metacloak_diffpure,0.1518,1,39.2996
james_metacloak_gn,0.6727,1,19.2365
james_metacloak_pdmpure,0.6667,1,34.5882
james_mist,0.2455,0.75,22.8819
james_mist_adavoc,0.5183,0.9375,40.3491
james_mist_ape,0.565,1,30.6582
james_mist_bf,0.6103,1,43.4474
james_mist_diffpure,0.1308,0.9375,46.861
james_mist_gn,0.6503,1,15.5875
james_mist_pdmpure,0.6374,0.9375,32.1128
johnny,0.6607,1,21.0229
johnny_aspl,0.621,1,30.737
johnny_aspl,0.6481,0.9375,32.7417
johnny_aspl_adavoc,0.5193,1,47.9282
johnny_aspl_ape,0.484,1,36.8123
johnny_aspl_bf,0.5663,1,40.7447
johnny_aspl_diffpure,0.1651,0.875,46.0397
johnny_aspl_gn,0.6212,1,38.2655
johnny_aspl_pdmpure,0.5447,0.9375,22.9188
johnny_glaze,0.655,1,15.2284
johnny_glaze_adavoc,0.5545,1,47.7706
johnny_glaze_ape,0.5535,1,36.9554
johnny_glaze_bf,0.6402,1,32.3497
johnny_glaze_diffpure,0.0504,0.8125,45.3956
johnny_glaze_gn,0.6972,1,19.425
johnny_glaze_pdmpure,0.5213,1,28.9574
johnny_metacloak,0.5854,1,35.0011
johnny_metacloak_adavoc,0.3757,0.875,49.3479
johnny_metacloak_ape,0.5127,1,38.2824
johnny_metacloak_bf,0.5772,0.9375,36.7036
johnny_metacloak_diffpure,0.1585,0.9375,42.4034
johnny_metacloak_gn,0.5812,1,23.0263
johnny_metacloak_pdmpure,0.5398,1,36.5123
johnny_mist,0.2122,0.1875,16.5678
johnny_mist_adavoc,0.3214,1,38.621
johnny_mist_ape,0.4161,1,37.3373
johnny_mist_bf,0.5217,1,40.8483
johnny_mist_diffpure,0.1537,0.75,43.2718
johnny_mist_gn,0.5136,1,9.4276
johnny_mist_pdmpure,0.556,1,33.2871
justin,0.638,1,20.3513
justin_aspl,0.5124,0.6875,40.8735
justin_aspl,0.4595,0.8125,40.8554
justin_aspl_adavoc,0.3918,0.875,35.9931
justin_aspl_ape,0.4102,1,33.3158
justin_aspl_bf,0.4432,1,41.8263
justin_aspl_diffpure,0.1971,0.6875,50.0712
justin_aspl_gn,0.6117,1,19.3752
justin_aspl_pdmpure,0.4764,1,42.57
justin_glaze,0.5628,1,36.1744
justin_glaze_adavoc,0.4815,1,38.366
justin_glaze_ape,0.4504,0.75,23.2704
justin_glaze_bf,0.5492,1,40.9377
justin_glaze_diffpure,0.2092,0.8125,52.5225
justin_glaze_gn,0.6765,1,6.1412
justin_glaze_pdmpure,0.4438,1,45.2528
justin_metacloak,0.4978,0.625,37.7835
justin_metacloak_adavoc,0.3911,0.75,42.9906
justin_metacloak_ape,0.2831,0.125,27.9182
justin_metacloak_bf,0.4714,0.9375,38.1811
justin_metacloak_diffpure,0.1405,0.6875,42.6768
justin_metacloak_gn,0.4966,1,8.274
justin_metacloak_pdmpure,0.3969,0.9375,44.6954
justin_mist,0.2563,0.75,20.7637
justin_mist_adavoc,0.3627,0.875,23.5201
justin_mist_ape,0.3011,0.8125,29.2698
justin_mist_bf,0.3528,1,42.2277
justin_mist_diffpure,0.2136,0.5625,55.9681
justin_mist_gn,0.4099,1,22.1619
justin_mist_pdmpure,0.5209,0.875,48.8955
kate,0.6419,0.875,9.698
kate_aspl,0.483,0.25,38.9312
kate_aspl,0.4667,0.625,39.9825
kate_aspl_adavoc,0.5092,0.9375,19.3964
kate_aspl_ape,0.3775,0.125,39.482
kate_aspl_bf,0.5408,0.1875,43.1748
kate_aspl_diffpure,0.1892,0.4375,50.9468
kate_aspl_gn,0.5676,1,31.1706
kate_aspl_pdmpure,0.5076,0.875,25.5206
kate_glaze,0.5326,1,4.0956
kate_glaze_adavoc,0.4224,0.8125,20.26
kate_glaze_ape,0.4344,0.75,33.4121
kate_glaze_bf,0.5675,0.875,39.241
kate_glaze_diffpure,0.2727,0.75,56.8949
kate_glaze_gn,0.6466,1,28.2792
kate_glaze_pdmpure,0.5376,0.875,29.6436
kate_metacloak,0.5832,0.5,40.6159
kate_metacloak_adavoc,0.2942,0.625,29.0205
kate_metacloak_ape,0.4955,0.6875,36.1476
kate_metacloak_bf,0.5494,0.625,41.2511
kate_metacloak_diffpure,0.2321,0.6875,49.6328
kate_metacloak_gn,0.5566,0.9375,19.0951
kate_metacloak_pdmpure,0.4422,0.9375,26.6166
kate_mist,0.2938,0.9375,17.4446
kate_mist_adavoc,0.4134,0.5625,25.4251
kate_mist_ape,0.4367,0.5625,34.1233
kate_mist_bf,0.4455,0.8125,41.4257
kate_mist_diffpure,0.2111,0.8125,45.298
kate_mist_gn,0.5018,0.9375,16.0819
kate_mist_pdmpure,0.5413,0.9375,31.9055
kiat,0.5769,1,23.6748
kiat_aspl,0.5698,0.9375,34.8529
kiat_aspl_ada,0.3471,1,34.7867
kiat_aspl_ape,0.4627,1,38.3794
kiat_aspl_bf,0.559,1,42.7439
kiat_aspl_diffpure,0.2649,0.9375,53.1891
kiat_aspl_gn,0.5778,1,9.2589
kiat_glaze,0.5194,1,36.0963
kiat_glaze_ada,0.3497,1,38.4563
kiat_glaze_ape,0.497,1,33.2075
kiat_glaze_bf,0.5636,1,44.8371
kiat_glaze_diffpure,0.2045,0.9375,50.7156
kiat_glaze_gn,0.6331,1,17.5282
kiat_metacloak,0.4876,1,37.7656
kiat_metacloak_ada,0.3262,0.9375,32.1722
kiat_metacloak_ape,0.2691,1,33.9488
kiat_metacloak_bf,0.5512,1,40.3223
kiat_metacloak_diffpure,0.2771,0.9375,54.096
kiat_metacloak_gn,0.5347,1,8.1116
kiat_mist,0.3602,1,18.5485
kiat_mist_ada,0.2743,1,19.5948
kiat_mist_ape,0.4279,1,38.4321
kiat_mist_bf,0.4784,1,46.2548
kiat_mist_diffpure,0.2482,1,51.959
kiat_mist_gn,0.4824,1,12.363
leonardo,0.73,1,12.5337
leonardo_aspl,0.6158,0.9375,40.396
leonardo_aspl,0.5987,0.8125,44.8884
leonardo_aspl_adavoc,0.577,1,26.4955
leonardo_aspl_ape,0.6864,1,29.8418
leonardo_aspl_bf,0.7481,0.875,44.4776
leonardo_aspl_diffpure,0.027,0.6875,50.2484
leonardo_aspl_gn,0.7165,1,5.104
leonardo_aspl_pdmpure,0.7181,1,46.9055
leonardo_glaze,0.5723,1,30.6116
leonardo_glaze_adavoc,0.6186,1,33.3324
leonardo_glaze_ape,0.7141,1,13.3362
leonardo_glaze_bf,0.7321,1,44.4302
leonardo_glaze_diffpure,0.0777,0.875,43.4748
leonardo_glaze_gn,0.746,1,4.4294
leonardo_glaze_pdmpure,0.7304,1,49.4801
leonardo_metacloak,0.577,1,40.2708
leonardo_metacloak_adavoc,0.5122,1,29.7545
leonardo_metacloak_ape,0.6258,1,31.4743
leonardo_metacloak_bf,0.6856,0.9375,41.8287
leonardo_metacloak_diffpure,0.023,0.75,35.6394
leonardo_metacloak_gn,0.6937,1,22.8003
leonardo_metacloak_pdmpure,0.6949,1,51.4898
leonardo_mist,0.372,1,21.3621
leonardo_mist_adavoc,0.5633,1,36.7015
leonardo_mist_ape,0.6867,1,39.1025
leonardo_mist_bf,0.6959,1,45.4037
leonardo_mist_diffpure,0.0676,1,44.8171
leonardo_mist_gn,0.4781,0.9375,16.6843
leonardo_mist_pdmpure,0.7257,1,45.5133
lucy,0.7334,1,16.572
lucy_aspl,0.6029,0.8125,42.3409
lucy_aspl,0.5541,0.5,44.8423
lucy_aspl_adavoc,0.5093,0.875,34.9677
lucy_aspl_ape,0.4916,0.9375,44.6159
lucy_aspl_bf,0.6214,0.375,34.5175
lucy_aspl_diffpure,-0.0119,0.75,45.168
lucy_aspl_gn,0.7033,1,22.1521
lucy_aspl_pdmpure,0.6141,0.9375,39.8402
lucy_glaze,0.7395,1,29.94
lucy_glaze_adavoc,0.5993,1,32.6909
lucy_glaze_ape,0.5566,1,43.8378
lucy_glaze_bf,0.7227,1,49.0016
lucy_glaze_diffpure,0.0832,0.9375,48.7341
lucy_glaze_gn,0.7433,1,9.7153
lucy_glaze_pdmpure,0.6556,1,50.409
lucy_metacloak,0.6494,0.75,40.9019
lucy_metacloak_adavoc,0.5122,0.875,39.1739
lucy_metacloak_ape,0.6063,0.6875,36.3124
lucy_metacloak_bf,0.4909,0.3125,41.8227
lucy_metacloak_diffpure,0.0767,1,48.3211
lucy_metacloak_gn,0.5988,1,11.9343
lucy_metacloak_pdmpure,0.6409,1,40.4112
lucy_mist,0.4666,0.4375,20.087
lucy_mist_adavoc,0.5054,0.9375,33.8729
lucy_mist_ape,0.5973,1,32.0831
lucy_mist_bf,0.624,1,43.9297
lucy_mist_diffpure,0.1396,1,52.8859
lucy_mist_gn,0.6431,1,23.0493
lucy_mist_pdmpure,0.6535,1,37.8172
morgan,0.7003,0.875,12.3642
morgan_aspl,0.6301,0.5,43.5841
morgan_aspl,0.674,0.375,42.0081
morgan_aspl_adavoc,0.4198,0.625,42.0944
morgan_aspl_ape,0.5345,0.9375,25.2556
morgan_aspl_bf,0.6082,0.875,50.9269
morgan_aspl_diffpure,0.2332,0.875,37.9187
morgan_aspl_gn,0.7462,0.875,15.6531
morgan_aspl_pdmpure,0.606,0.625,30.5046
morgan_glaze,0.7294,0.9375,7.1456
morgan_glaze_adavoc,0.4935,0.75,41.2435
morgan_glaze_ape,0.5403,1,21.2143
morgan_glaze_bf,0.7603,0.875,26.8228
morgan_glaze_diffpure,0.2061,0.9375,36.9548
morgan_glaze_gn,0.7557,0.8125,22.6376
morgan_glaze_pdmpure,0.6984,0.5625,26.6821
morgan_metacloak,0.5282,0.25,37.0991
morgan_metacloak_adavoc,0.3298,0.125,41.4048
morgan_metacloak_ape,0.5399,0.25,26.4814
morgan_metacloak_bf,0.5373,0.125,44.1254
morgan_metacloak_diffpure,0.2026,0.8125,43.9599
morgan_metacloak_gn,0.5428,0.6875,8.1335
morgan_metacloak_pdmpure,0.6212,0.5625,28.7225
morgan_mist,0.4305,0.875,16.4826
morgan_mist_adavoc,0.5521,0.9375,39.6554
morgan_mist_ape,0.57,1,33.8325
morgan_mist_bf,0.8022,1,37.4593
morgan_mist_diffpure,0.2471,0.875,24.2019
morgan_mist_gn,0.7364,0.625,12.9911
morgan_mist_pdmpure,0.6298,0.375,34.7383
oprah,0.6758,0.875,15.624
oprah_aspl,0.426,0.8125,33.6162
oprah_aspl,0.5279,1,33.2864
oprah_aspl_adavoc,0.5236,0.875,26.1822
oprah_aspl_ape,0.5786,1,33.976
oprah_aspl_bf,0.4874,1,36.5829
oprah_aspl_diffpure,0.2971,0.875,34.8745
oprah_aspl_gn,0.643,1,18.4138
oprah_aspl_pdmpure,0.5943,0.9375,44.0045
oprah_glaze,0.6536,0.9375,22.2687
oprah_glaze_adavoc,0.4981,1,43.9764
oprah_glaze_ape,0.522,0.875,35.5704
oprah_glaze_bf,0.5442,0.9375,35.3019
oprah_glaze_diffpure,0.3044,1,44.7717
oprah_glaze_gn,0.7027,1,24.6349
oprah_glaze_pdmpure,0.5685,1,39.5231
oprah_metacloak,0.5419,0.9375,24.4233
oprah_metacloak_adavoc,0.3676,0.625,32.1118
oprah_metacloak_ape,0.5985,1,35.124
oprah_metacloak_bf,0.5792,0.9375,40.104
oprah_metacloak_diffpure,0.273,0.9375,34.5975
oprah_metacloak_gn,0.5766,1,17.2941
oprah_metacloak_pdmpure,0.6019,0.75,40.5387
oprah_mist,0.2628,0.5,20.2372
oprah_mist_adavoc,0.312,0.75,22.3818
oprah_mist_ape,0.4915,1,34.2201
oprah_mist_bf,0.3358,0.9375,32.747
oprah_mist_diffpure,0.2568,1,43.1207
oprah_mist_gn,0.4722,0.875,19.6629
oprah_mist_pdmpure,0.6087,0.9375,41.0155
qian,0.7358,0.875,6.6487
qian_aspl,0.6257,0.9375,34.5563
qian_aspl_ada,0.2772,0.9375,27.9069
qian_aspl_ape,0.4954,0.625,43.6748
qian_aspl_bf,0.5526,0.875,40.1626
qian_aspl_diffpure,0.1471,1,59.3791
qian_aspl_gn,0.6766,0.9375,27.8509
qian_glaze,0.5336,0.9375,18.1968
qian_glaze_ada,0.3324,1,27.1424
qian_glaze_ape,0.5872,0.9375,36.488
qian_glaze_bf,0.6335,1,44.6776
qian_glaze_diffpure,0.1289,0.9375,57.1588
qian_glaze_gn,0.6875,1,7.304
qian_metacloak,0.3009,0.1875,41.5404
qian_metacloak_ada,0.3475,0.875,7.0503
qian_metacloak_ape,0.5166,0.8125,37.5529
qian_metacloak_bf,0.51,0.75,46.2627
qian_metacloak_diffpure,0.1198,0.8125,55.9142
qian_metacloak_gn,0.4496,0.625,7.9766
qian_mist,0,0,20.3394
qian_mist_ada,0.3628,0.8125,19.5425
qian_mist_ape,0.4783,0.6875,35.232
qian_mist_bf,0.501,1,36.0645
